WELL_PERMIT_NUM,PERIOD_ID,REPORTING_PERIOD,PRODUCTION_INDICATOR,WASTE_INDICATOR,WELL_STATUS,FARM_NAME_WELL_NUM,SPUD_DATE,GAS_QUANTITY,GAS_PRODUCTION_DAYS,CONDENSATE_QUANTITY,CONDENSATE_PRODUCTION_DAYS,OIL_QUANTITY,OIL_PRODUCTION_DAYS,AVERAGED,GROUP_NO,OPERATOR,OGO_NUM,WELL_COUNTY,WELL_MUNICIPALITY,WELL_LATITUDE,WELL_LONGITUDE,UNCONVENTIONAL,WELL_CONFIGURATION,WELL_TYPE,PRODUCTION_PERIOD_START_DATE,PRODUCTION_PERIOD_END_DATE,NON_PRODUCTION_COMMENTS,ADDITIONAL_COMMENTS,RECORD_SOURCE,SUBMISSION_FINAL_DATE,REPORT_GENERATED_DATE
005-31179,19JUNP,Jun 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13230,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,6/1/19,6/30/19,,,OGRE,7/30/19,9/29/21
005-31179,19MARP,Mar 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,14183,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,3/1/19,3/31/19,,,OGRE,4/25/19,9/29/21
005-31179,19MAYP,May 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,14380,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,5/1/19,5/31/19,,,OGRE,7/11/19,9/29/21
005-31179,19NOVP,Nov 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12467,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,11/1/19,11/30/19,,,OGRE,1/14/20,9/29/21
005-31179,19OCTP,Oct 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12702,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,10/1/19,10/31/19,,,OGRE,12/4/19,9/29/21
005-31179,19SEPP,Sep 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12511,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,9/1/19,9/30/19,,,OGRE,12/4/19,9/29/21
005-31179,20APRP,Apr 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11307,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,4/1/20,4/30/20,,,OGRE,5/27/20,9/29/21
005-31179,20AUGP,Aug 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13841,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,8/1/20,8/31/20,,,OGRE,9/28/20,9/29/21
005-31179,20DECP,Dec 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13129,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,12/1/20,12/31/20,,,OGRE,1/27/21,9/29/21
005-31179,20FEBP,Feb 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11538,29,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,2/1/20,2/29/20,,,OGRE,3/31/20,9/29/21
005-31179,20JANP,Jan 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12217,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,1/1/20,1/31/20,,,OGRE,3/2/20,9/29/21
005-31179,20JULP,Jul 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11918,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,7/1/20,7/31/20,,,OGRE,8/31/20,9/29/21
005-31179,20JUNP,Jun 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,10979,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,6/1/20,6/30/20,,,OGRE,8/4/20,9/29/21
005-31179,20MARP,Mar 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12253,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,3/1/20,3/31/20,,,OGRE,4/29/20,9/29/21
005-31179,20MAYP,May 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11563,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,5/1/20,5/31/20,,,OGRE,6/30/20,9/29/21
005-31179,20NOVP,Nov 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13010,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,11/1/20,11/30/20,,,OGRE,12/17/20,9/29/21
005-31179,20OCTP,Oct 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13620,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,10/1/20,10/31/20,,,OGRE,12/2/20,9/29/21
005-31179,20SEPP,Sep 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13368,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,9/1/20,9/30/20,,,OGRE,11/8/20,9/29/21
005-31179,21APRP,Apr 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11712.87,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,4/1/21,4/30/21,,,OGRE,6/14/21,9/29/21
005-31179,21FEBP,Feb 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11100.04,28,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,2/1/21,2/28/21,,,OGRE,4/14/21,9/29/21
005-31179,21JANP,Jan 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12633.25,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,1/1/21,1/31/21,,,OGRE,3/17/21,9/29/21
005-31179,21JULP,Jul 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,10831.97,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,7/1/21,7/31/21,,,OGRE,9/13/21,9/29/21
005-31179,21JUNP,Jun 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11497.05,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,6/1/21,6/30/21,,,OGRE,8/13/21,9/29/21
005-31179,21MARP,Mar 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12142.89,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,3/1/21,3/31/21,,,OGRE,5/14/21,9/29/21
005-31179,21MAYP,May 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,11838.45,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,5/1/21,5/31/21,,,OGRE,7/15/21,9/29/21
021-21175,19APRP,Apr 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,4/1/19,4/30/19,Plugged well,,OGRE,6/10/19,9/29/21
021-21175,19FEBP,Feb 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,2/1/19,2/28/19,Plugged well,,OGRE,4/1/19,9/29/21
021-21175,19JANP,Jan 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,1/1/19,1/31/19,Plugged well,,OGRE,3/5/19,9/29/21
021-21175,19JULP,Jul 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,7/1/19,7/31/19,Plugged well,,OGRE,8/21/19,9/29/21
021-21175,19JUNP,Jun 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,6/1/19,6/30/19,Plugged well,,OGRE,7/30/19,9/29/21
021-21175,19MARP,Mar 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,3/1/19,3/31/19,Plugged well,,OGRE,4/25/19,9/29/21
021-21175,19MAYP,May 2019 (PRODUCTION: Unconventional wells),No,No,Active,PMG RABY UNIT 3H,11/11/11,,,,,,,No,,EQT CHAP LLC,OGO-39307,CAMBRIA,ADAMS,40.281436,-78.690097,Yes,Horizontal Well,GAS,5/1/19,5/31/19,Plugged well,,OGRE,7/11/19,9/29/21
031-25600,19APRP,Apr 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,MILYO UNIT 1H,6/14/12,,,,,,,No,,EQT CHAP LLC,OGO-39307,CLARION,WASHINGTON,41.393094,-79.369611,Yes,Horizontal Well,GAS,4/1/19,4/30/19,Regulatory Inactive Well,,OGRE,6/10/19,9/29/21
031-25600,19FEBP,Feb 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,MILYO UNIT 1H,6/14/12,,,,,,,No,,EQT CHAP LLC,OGO-39307,CLARION,WASHINGTON,41.393094,-79.369611,Yes,Horizontal Well,GAS,2/1/19,2/28/19,Regulatory Inactive Well,,OGRE,4/1/19,9/29/21
