WELL_PERMIT_NUM,PERIOD_ID,REPORTING_PERIOD,PRODUCTION_INDICATOR,WASTE_INDICATOR,WELL_STATUS,FARM_NAME_WELL_NUM,SPUD_DATE,GAS_QUANTITY,GAS_PRODUCTION_DAYS,CONDENSATE_QUANTITY,CONDENSATE_PRODUCTION_DAYS,OIL_QUANTITY,OIL_PRODUCTION_DAYS,AVERAGED,GROUP_NO,OPERATOR,OGO_NUM,WELL_COUNTY,WELL_MUNICIPALITY,WELL_LATITUDE,WELL_LONGITUDE,UNCONVENTIONAL,WELL_CONFIGURATION,WELL_TYPE,PRODUCTION_PERIOD_START_DATE,PRODUCTION_PERIOD_END_DATE,NON_PRODUCTION_COMMENTS,ADDITIONAL_COMMENTS,RECORD_SOURCE,SUBMISSION_FINAL_DATE,REPORT_GENERATED_DATE
005-31098,20JANP,Jan 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,18783,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,1/1/20,1/31/20,,,OGRE,3/2/20,9/29/21
005-31098,20JULP,Jul 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,18176,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,7/1/20,7/31/20,,,OGRE,8/31/20,9/29/21
005-31098,20JUNP,Jun 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,17584,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,6/1/20,6/30/20,,,OGRE,8/4/20,9/29/21
005-31098,20MARP,Mar 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,19243,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,3/1/20,3/31/20,,,OGRE,4/29/20,9/29/21
005-31098,20MAYP,May 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,18166,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,5/1/20,5/31/20,,,OGRE,6/30/20,9/29/21
005-31098,20NOVP,Nov 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,16141,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,11/1/20,11/30/20,,,OGRE,12/17/20,9/29/21
005-31098,20OCTP,Oct 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,16794,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,10/1/20,10/31/20,,,OGRE,12/2/20,9/29/21
005-31098,20SEPP,Sep 2020 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,16723,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,9/1/20,9/30/20,,,OGRE,11/8/20,9/29/21
005-31098,21APRP,Apr 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,15020,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,4/1/21,4/30/21,,,OGRE,6/14/21,9/29/21
005-31098,21FEBP,Feb 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,14060.38,28,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,2/1/21,2/28/21,,,OGRE,4/14/21,9/29/21
